videoId,quality_ratio,avg_quality,comments
643,3.8,0.30934675615212526,447
645,0.0,0.395,1
651,0.0,0.253,1
655,0.0,0.225,1
663,0.0,0.22299999999999998,4
670,0.0,0.3,1
674,36.4,0.45581818181818184,11
677,0.0,0.225,1
678,0.0,0.243,1
685,0.0,0.3,1
688,0.0,0.3,1
695,20.0,0.3641,10
700,100.0,0.735,1
701,6.2,0.2893125,16
714,0.0,0.32225,4
721,0.0,0.225,1
730,0.0,0.2676,5
741,11.1,0.3392222222222222,9
742,5.9,0.3367647058823529,17
743,2.5,0.26246153846153847,832
751,0.0,0.256,4
752,0.0,0.273,1
753,0.0,0.2955,2
755,0.0,0.28049999999999997,2
760,25.8,0.4250322580645161,31
775,50.0,0.4805,2
778,0.0,0.081,3
782,0.0,0.225,1
786,0.0,0.225,1
787,9.1,0.34809090909090906,11
796,0.0,0.255,1
803,3.1,0.3169375,96
805,0.0,0.255,1
806,33.3,0.39599999999999996,6
826,0.0,0.23500000000000001,3
827,0.0,0.255,1
833,0.0,0.225,1
841,13.0,0.3839130434782609,23
842,0.0,0.255,1
852,0.0,0.3075,4
854,0.0,0.3165,2
859,0.0,0.328,1
862,0.0,0.2855,2
863,0.0,0.3736,5
871,14.3,0.38078571428571434,14
872,0.0,0.2625,2
873,50.0,0.44,2
875,0.0,0.225,1
880,25.0,0.3881666666666666,24
883,0.0,0.31,2
886,0.0,0.311,6
888,3.4,0.37472413793103443,29
889,0.0,0.255,1
891,0.0,0.318,1
897,0.0,0.225,1
901,25.0,0.39649999999999996,4
903,2.8,0.28488811188811186,143
905,12.5,0.3580833333333333,24
908,0.0,0.36450000000000005,2
909,50.0,0.5003690476190477,84
912,0.0,0.225,1
916,0.0,0.27749999999999997,2
918,40.0,0.5626,5
921,0.0,0.255,1
922,50.0,0.585,2
924,50.0,0.516,2
930,18.2,0.3730909090909091,11
931,0.0,0.2905,2
936,0.0,0.29,1
945,0.0,0.225,1
948,0.0,0.2793333333333333,6
957,0.0,0.255,1
960,0.0,0.0,1
961,50.0,0.54325,8
